Province/State,Country/Region,Lat,Long,05-12-2020
,Afghanistan,33,65,4963
,Albania,41.1533,20.1683,876
,Algeria,28.0339,1.6596,6067
,Andorra,42.5063,1.5218,758
,Angola,-11.2027,17.8739,45
,Antigua and Barbuda,17.0608,-61.7964,25
,Argentina,-38.4161,-63.6167,6563
,Armenia,40.0691,45.0382,3538
Australian Capital Territory,Australia,-35.4735,149.0124,107
New South Wales,Australia,-33.8688,151.2093,3059
Northern Territory,Australia,-12.4634,130.8456,29
Queensland,Australia,-28.0167,153.4,1052
South Australia,Australia,-34.9285,138.6007,439
Tasmania,Australia,-41.4545,145.9707,227
Victoria,Australia,-37.8136,144.9631,1514
Western Australia,Australia,-31.9505,115.8605,553
,Austria,47.5162,14.5501,15961
,Azerbaijan,40.1431,47.5769,2693
,Bahamas,25.0343,-77.3963,93
,Bahrain,26.0275,50.55,5531
,Bangladesh,23.685,90.3563,16660
,Barbados,13.1939,-59.5432,85
,Belarus,53.7098,27.9534,24873
,Belgium,50.8333,4,53779
,Benin,9.3077,2.3158,327
,Bhutan,27.5142,90.4336,11
,Bolivia,-16.2902,-63.5887,2964
,Bosnia and Herzegovina,43.9159,17.6791,2158
,Brazil,-14.235,-51.9253,178214
,Brunei,4.5353,114.7277,141
,Bulgaria,42.7339,25.4858,2023
,Burkina Faso,12.2383,-1.5616,766
,Cabo Verde,16.5388,-23.0418,267
,Cambodia,11.55,104.9167,122
,Cameroon,3.848,11.5021,2689
Alberta,Canada,53.9333,-116.5765,6345
British Columbia,Canada,49.2827,-123.1207,2360
Grand Princess,Canada,37.6489,-122.6655,13
Manitoba,Canada,53.7609,-98.8139,290
New Brunswick,Canada,46.5653,-66.4619,120
Newfoundland and Labrador,Canada,53.1355,-57.6604,261
Nova Scotia,Canada,44.682,-63.7443,1020
Ontario,Canada,51.2538,-85.3232,22158
Prince Edward Island,Canada,46.5107,-63.4168,27
Quebec,Canada,52.9399,-73.5491,39235
Saskatchewan,Canada,52.9399,-106.4509,573
,Central African Republic,6.6111,20.9394,143
,Chad,15.4542,18.7322,357
,Chile,-35.6751,-71.543,31721
Anhui,China,31.8257,117.2264,991
Beijing,China,40.1824,116.4142,593
Chongqing,China,30.0572,107.874,579
Fujian,China,26.0789,117.9874,356
Gansu,China,37.8099,101.0583,139
Guangdong,China,23.3417,113.4244,1589
Guangxi,China,23.8298,108.7881,254
Guizhou,China,26.8154,106.8748,147
Hainan,China,19.1959,109.7453,168
Hebei,China,39.549,116.1306,328
Heilongjiang,China,47.862,127.7615,945
Henan,China,33.882,113.614,1276
Hong Kong,China,22.3,114.2,1047
Hubei,China,30.9756,112.2707,68134
Hunan,China,27.6104,111.7088,1019
Inner Mongolia,China,44.0935,113.9448,209
Jiangsu,China,32.9711,119.455,653
Jiangxi,China,27.614,115.7221,937
